Name,Asignee,Creado por,Descripcion,Drive 1,Drive 2,Drive 3,Drkive 4,End Date,Entregable,Fecha de creación,Files1,Files2,Files3,Files4,Finalizada,ID,ID 1,Instrumento,LOG DE NOTAS,PROYECTOS,Place,Prioridad,RESPONSABLES,Referencia Normativa,SECCIONES,STAKEHOLDERS,Separador1,Separador2,Separador3,Start Date,Status,Última edición,Última edición por
"Simulacro de Continuidad ""Modo Papel""",Guido Corral,Guido Corral,"Simulación física en un servicio crítico de caída total del HIS/RCE. Verificación de existencia de formularios papel, protocolos de identificación manual de pacientes y flujos de comunicación por radio o mensajería física.",,,,,30/04/2026,Registro de parches (IF0.2) actualizado y firmado mensualmente.,"February 6, 2026 11:12 AM",,,,,No,F5.2,42,Informe Simulacro,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,"CISO (https://www.notion.so/CISO-2fcdabdc66ac80b3af4ed01de825c222?pvs=21), Jefe de TI (https://www.notion.so/Jefe-de-TI-2fcdabdc66ac800d873ac8395eca8a94?pvs=21)",Inst. 4 ANCI,3. Resiliencia (https://www.notion.so/3-Resiliencia-2fcdabdc66ac80f4b63dcf73b7dd1175?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,20/04/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Comité de Seguridad Trimestral Q1,Guido Corral,Guido Corral,"Instancia de alta dirección para revisar métricas de cumplimiento del plan, estado de los riesgos críticos y aprobación de inversiones extraordinarias para mitigar hallazgos de las auditorías de marzo.",,,,,30/04/2026,Reporte técnico: 100% de cuentas críticas con MFA activo.,"February 6, 2026 11:12 AM",,,,,No,F1.1,43,Acta Comité,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,"Dirección Hospital (https://www.notion.so/Direcci-n-Hospital-2fcdabdc66ac80679e9ed7410f44c545?pvs=21), CISO (https://www.notion.so/CISO-2fcdabdc66ac80b3af4ed01de825c222?pvs=21)",ITS-NC-007,2. Gobernanza y Cumplimiento (https://www.notion.so/2-Gobernanza-y-Cumplimiento-2fcdabdc66ac800f84c2f62fc3bbfecf?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,20/04/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Clasificación de Datos Sensibles/Clínicos,Guido Corral,Guido Corral,Inventariado de flujos de datos: ¿Quién accede a los datos genómicos? ¿Dónde se guardan las biopsias digitales? Clasificación según Ley 19.628 y futura ley de protección de datos para aplicar controles de acceso proporcionales.,,,,,17/05/2026,Política de Seguridad de la Información publicada en Intranet.,"February 6, 2026 11:12 AM",,,,,No,F2.6,44,Inventario Datos,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,"Subdirector Medico (https://www.notion.so/Subdirector-Medico-2ffdabdc66ac80dea6f4f7cd4aee3df1?pvs=21), Subdirectora de Cuidados (https://www.notion.so/Subdirectora-de-Cuidados-2ffdabdc66ac80fda16fe763eb199ac2?pvs=21), Jefe de Calidad (https://www.notion.so/Jefe-de-Calidad-2ffdabdc66ac803a8c88c0aced17c25d?pvs=21)",Ley Prot. Datos,5. Gestión de Activos (https://www.notion.so/5-Gesti-n-de-Activos-2ffdabdc66ac80debc31ed6cdbe48223?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,05/04/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Hardening de Servidores Críticos,Guido Corral,Guido Corral,"Aplicación de configuraciones de seguridad robustas (CIS Benchmarks) en servidores que alojan el RCE y PACS. Incluye deshabilitar protocolos antiguos (SMBv1, TLS 1.0) y cerrar puertos no esenciales para servicios médicos.",,,,,31/05/2026,Informe de brechas por proveedor y plan de remediación.,"February 6, 2026 11:12 AM",,,,,No,F3.9,45,Checklist Hardening,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,Jefe de TI (https://www.notion.so/Jefe-de-TI-2fcdabdc66ac800d873ac8395eca8a94?pvs=21),Estándar Salud,4. Protección (https://www.notion.so/4-Protecci-n-2fcdabdc66ac80e58772d77fb7f21dff?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,18/05/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Micro-segmentación Red Biomédica,Guido Corral,Guido Corral,"Creación de zonas de red aisladas para equipos médicos que no pueden ser actualizados (ej. TACs con Windows antiguo). Se permite solo el tráfico DICOM hacia el PACS, bloqueando cualquier otro movimiento lateral de posibles virus.",,,,,30/06/2026,Matriz de Riesgos aprobada por el Comité de Seguridad.,"February 6, 2026 11:12 AM",,,,,No,F4.1,46,Planos de Red,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,Jefe de TI (https://www.notion.so/Jefe-de-TI-2fcdabdc66ac800d873ac8395eca8a94?pvs=21),Red de Datos,8. Infraestructura (https://www.notion.so/8-Infraestructura-2ffdabdc66ac80f2be3af05c4ab1c0a0?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,06/01/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Cifrado de Datos en Reposo (PACS/RCE),Guido Corral,Guido Corral,Implementación de cifrado (AES-256) en las unidades de almacenamiento donde residen las fichas clínicas e imágenes. Protege la información ante el robo físico de discos o acceso no autorizado al sistema de archivos.,,,,,15/07/2026,Base de datos IC01 completa y validada por TI/Clínica.,"February 6, 2026 11:12 AM",,,,,No,F4.5,47,Cert. Cifrado,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,Jefe de TI (https://www.notion.so/Jefe-de-TI-2fcdabdc66ac800d873ac8395eca8a94?pvs=21),Seg. Paciente,8. Infraestructura (https://www.notion.so/8-Infraestructura-2ffdabdc66ac80f2be3af05c4ab1c0a0?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,07/01/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Hacking Ético Anual (Pentesting),Guido Corral,Guido Corral,"Ejecución de pruebas de penetración controladas simulando un atacante externo e interno. Foco en la interfaz web del RCE y portales de resultados para pacientes, buscando vulnerabilidades de inyección o robo de sesiones.",,,,,31/08/2026,Certificado de registro en portal y log de simulacro de reporte.,"February 6, 2026 11:12 AM",,,,,No,F3.6,48,LC02 (Servicio),,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,"Jefe de TI (https://www.notion.so/Jefe-de-TI-2fcdabdc66ac800d873ac8395eca8a94?pvs=21), CISO (https://www.notion.so/CISO-2fcdabdc66ac80b3af4ed01de825c222?pvs=21)",Res. 850,4. Protección (https://www.notion.so/4-Protecci-n-2fcdabdc66ac80e58772d77fb7f21dff?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,08/01/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Integración IC01 en Gestión de Cambios,Guido Corral,Guido Corral,"Actualizar el flujo del Formulario RFC (Consolidado Final) para que la consulta al ID de activo del IC01 sea obligatoria, exigiendo aprobación del CISO para criticidad 4 y 5.",,,,,22/03/2026,Formulario RFC actualizado con validación de criticidad.,"February 6, 2026 1:25 PM",,,,,No,F2.1.b,57,IC01 / RFC,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,,ANCI Inst. 1 y 3,9. ANCI Prioritarias (https://www.notion.so/9-ANCI-Prioritarias-2ffdabdc66ac80819198d982c0ea8d66?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,16/03/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Control de Acceso basado en Criticidad,Guido Corral,Guido Corral,"Modificar el ""Procedimiento de Gestión de Accesos"" para que solicitudes a sistemas de ""Soporte Vital"" (según IC01) activen obligatoriamente MFA y aprobación de Subdirección Médica.",,,,,04/07/2026,Procedimiento de Accesos actualizado y visado.,"February 6, 2026 1:25 PM",,,,,No,F3.7.b,58,IC01 / IF0.2,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,,ANCI Inst. 3,9. ANCI Prioritarias (https://www.notion.so/9-ANCI-Prioritarias-2ffdabdc66ac80819198d982c0ea8d66?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,04/01/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Implementación de Inmutabilidad (WORM),Guido Corral,Guido Corral,"Configurar políticas de bloqueo de retención en el storage de respaldo para los sistemas RCE y PACS, asegurando que los datos sean indestructibles ante Ransomware.",,,,,19/04/2026,Certificado de configuración de Inmutabilidad (WORM) activo.,"February 6, 2026 1:25 PM",,,,,No,F5.1,59,Acta Técnica,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,,ANCI Inst. 4,9. ANCI Prioritarias (https://www.notion.so/9-ANCI-Prioritarias-2ffdabdc66ac80819198d982c0ea8d66?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,13/04/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Protocolo Institucional de Modo Papel,Guido Corral,Guido Corral,"Elaboración del instructivo de atención manual para servicios críticos, incluyendo el diseño de kits de emergencia (formularios físicos) y rutas de comunicación física.",,,,,30/04/2026,Protocolo de Continuidad Clínica aprobado por Dirección.,"February 6, 2026 1:25 PM",,,,,No,F5.2,60,Protocolo Clínico,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,,ANCI Inst. 4,9. ANCI Prioritarias (https://www.notion.so/9-ANCI-Prioritarias-2ffdabdc66ac80819198d982c0ea8d66?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,20/04/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Validación de Resiliencia y Backup,Guido Corral,Guido Corral,Ejecución de prueba de restauración completa (Bare Metal) del RCE desde el respaldo inmutable para validar tiempos de recuperación (RTO) bajo condiciones de crisis.,,,,,30/04/2026,Acta de restauración exitosa y validación de integridad.,"February 6, 2026 1:25 PM",,,,,No,F5.2.b,61,Acta Pruebas,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,,ANCI Inst. 4,9. ANCI Prioritarias (https://www.notion.so/9-ANCI-Prioritarias-2ffdabdc66ac80819198d982c0ea8d66?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,25/04/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
Evaluación de Riesgos de Disponibilidad,Guido Corral,Guido Corral,Realizar el mapeo de procesos clínicos que dependen de los activos nivel 5 del IC01 para identificar los puntos de falla única que no están cubiertos por el actual plan de cambios.,,,,,31/03/2026,Informe de riesgos de disponibilidad asistencial.,"February 6, 2026 1:25 PM",,,,,No,F2.8.b,62,Matriz Riesgos,Apunte 2 (https://www.notion.so/Apunte-2-2fddabdc66ac80d29dc9df0c6284d82a?pvs=21),PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,,ANCI Inst. 1,9. ANCI Prioritarias (https://www.notion.so/9-ANCI-Prioritarias-2ffdabdc66ac80819198d982c0ea8d66?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,23/03/2026,Not started,"February 6, 2026 3:45 PM",Guido Corral
,,Guido Corral,,,,,,,,"February 8, 2026 11:22 AM",,,,,No,,63,,,,,,,,,,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,,Not started,"February 8, 2026 11:22 AM",Guido Corral
Respuesta Incorporacion Modalidad Dental,,Guido Corral,"Se genera informe en respuesta a solicitu de incorporacion de nueva modalidad de Dental a RIS PAC. Se condiciona a algunas actividades.
Condiciones:
",,,,,,Informe de respuesta,"February 9, 2026 8:06 AM",https://docs.google.com/document/d/1V8IIBMtJ93ivDmUIpEN4BL-5oHZMbJR7JEY-ac13RNc/edit?usp=sharing,,,,No,,66,,,PROYECTO CIBERSEGURIDAD (https://www.notion.so/PROYECTO-CIBERSEGURIDAD-2fcdabdc66ac80cf9a4beaaa7f2ed421?pvs=21),,,CISO (https://www.notion.so/CISO-2fcdabdc66ac80b3af4ed01de825c222?pvs=21),,10. Followups (https://www.notion.so/10-Followups-300dabdc66ac80d7b76dda92312063ab?pvs=21),,▬▬▬▬▬▬,▬▬▬▬▬▬,▬▬▬▬▬▬,04/02/2026,Not started,"February 9, 2026 8:38 AM",Guido Corral
